,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
246,ID 109897283,homeowner,https://ekb.cian.ru/rent/flat/295015338/,Екатеринбург,rent,flat,6,12,2,48.5,515,25000,0,Автовокзал, Московская,209,Чкаловская
247,Антон Кремлев,realtor,https://ekb.cian.ru/rent/flat/294850881/,Екатеринбург,rent,flat,6,8,1,50.0,2000,100000,0,Центр, Попова,18,Площадь 1905 года
248,Сергей Гаврин,realtor,https://ekb.cian.ru/rent/flat/294657949/,Екатеринбург,rent,flat,12,26,2,56.0,892,50000,0,Центр, Куйбышева,41,Геологическая
249,ID 108210685,realtor,https://ekb.cian.ru/rent/flat/295010556/,Екатеринбург,rent,flat,11,14,1,22.0,909,20000,0,, Евгения Савкова,23,Геологическая
250,Артем Сайфамлюков,realtor,https://ekb.cian.ru/rent/flat/294937793/,Екатеринбург,rent,flat,7,25,1,40.0,875,35000,0,Кировский, Библиотечная,45,Площадь 1905 года
251,Наталья Лунау,realtor,https://ekb.cian.ru/rent/flat/294807725/,Екатеринбург,rent,flat,9,16,2,78.2,575,45000,0,Автовокзал, Циолковского,3,Чкаловская
252,ID 18179838,realtor,https://ekb.cian.ru/rent/flat/294711593/,Екатеринбург,rent,flat,5,11,2,60.0,416,25000,0,мкр. Академический, Краснолесья,93,
253,Сергей Гаврин,realtor,https://ekb.cian.ru/rent/flat/294517474/,Екатеринбург,rent,flat,20,21,2,65.0,769,50000,0,Автовокзал, Циолковского,57,Чкаловская
254,Артем Сайфамлюков,realtor,https://ekb.cian.ru/rent/flat/294688310/,Екатеринбург,rent,flat,23,25,1,55.0,909,50000,0,Верх-Исетский, Московская,66,Геологическая
255,ID 55101360,homeowner,https://ekb.cian.ru/rent/flat/294423795/,Екатеринбург,rent,flat,1,2,1,36.6,519,19000,0,Орджоникидзевский,тупик Балаклавский,3,Уралмаш
256,Европа Центр,real_estate_agent,https://ekb.cian.ru/rent/flat/291552699/,Екатеринбург,rent,flat,3,10,1,34.0,588,20000,0,Орджоникидзевский, Восстания,91,Проспект Космонавтов
257,Артем Сайфамлюков,realtor,https://ekb.cian.ru/rent/flat/294688495/,Екатеринбург,rent,flat,7,11,2,61.0,1065,65000,0,Центр, Сакко и Ванцетти,47,Площадь 1905 года
258,ID 19345961,homeowner,https://ekb.cian.ru/rent/flat/290778178/,Екатеринбург,rent,flat,3,5,3,60.0,666,40000,0,Центр, Первомайская,33,Динамо
