,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
786,MASTER-GROUP Real Estate,real_estate_agent,https://spb.cian.ru/rent/flat/294733210/,Санкт-Петербург,rent,flat,4,10,2,45.0,822,37000,0,Калининский, Ольги Форш,15К1,Гражданский проспект
787,Елена Пирогова,realtor,https://spb.cian.ru/rent/flat/279269512/,Санкт-Петербург,rent,flat,7,9,2,45.0,844,38000,0,Московский,проспект Юрия Гагарина,24К1,Московская
788,НОВЫЙ КВАРТАЛ,real_estate_agent,https://spb.cian.ru/rent/flat/292895203/,Санкт-Петербург,rent,flat,14,18,1,43.0,976,42000,0,Невский, Дыбенко,2,Улица Дыбенко
789,Иммобилье,real_estate_agent,https://spb.cian.ru/rent/flat/294133249/,Санкт-Петербург,rent,flat,6,12,1,36.1,1163,42000,0,Приморский,проспект Авиаконструкторов,54,Комендантский проспект
790,Елена Бурыкина,realtor,https://spb.cian.ru/rent/flat/279393455/,Санкт-Петербург,rent,flat,4,9,1,42.0,952,40000,0,Курортный,Садовая ,81,Озерки
791,Татьяна Белова,realtor,https://spb.cian.ru/rent/flat/294732682/,Санкт-Петербург,rent,flat,4,5,3,60.0,583,35000,0,Московский,Витебский проспект,47К2,Звездная
792,Адвекс,real_estate_agent,https://spb.cian.ru/rent/flat/293384956/,Санкт-Петербург,rent,flat,1,8,2,68.0,558,38000,0,Красносельский, Партизана Германа,13,Проспект Ветеранов
793,Аватерра,real_estate_agent,https://spb.cian.ru/rent/flat/295003875/,Санкт-Петербург,rent,flat,6,10,1,36.0,1111,40000,0,Приморский,Яхтенная ,5К1,Беговая
794,Ольга Мелешко,realtor,https://spb.cian.ru/rent/flat/271972925/,Санкт-Петербург,rent,flat,6,9,1,42.0,952,40000,0,Фрунзенский,проспект Славы,40к6,Проспект Славы
795,Владис Аврора,real_estate_agent,https://spb.cian.ru/rent/flat/294853148/,Санкт-Петербург,rent,flat,26,26,1,39.1,1023,40000,0,Выборгский, Федора Абрамова,8,Парнас
796,Адвекс,real_estate_agent,https://spb.cian.ru/rent/flat/294165298/,Санкт-Петербург,rent,flat,14,20,1,42.8,934,40000,0,Выборгский,Железнодорожный переулок,12,Пионерская
797,Столица Квартир,real_estate_agent,https://spb.cian.ru/rent/flat/292156573/,Санкт-Петербург,rent,flat,7,17,1,43.7,983,43000,0,Московский,Московский проспект,,
798,Ольга Гаврилюк,realtor,https://spb.cian.ru/rent/flat/228335839/,Санкт-Петербург,rent,flat,5,17,1,46.4,818,38000,0,Невский, Бадаева,14к1,Проспект Большевиков
799,ПРИОРИТЕТ,real_estate_agent,https://spb.cian.ru/rent/flat/294257219/,Санкт-Петербург,rent,flat,7,26,1,35.0,1142,40000,0,Фрунзенский,Будапештская ,102,Дунайская
