,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
415,MedinaPro,real_estate_agent,https://kazan.cian.ru/rent/flat/294295917/,Казань,rent,flat,3,5,1,31.0,741,23000,0,Кировский,Повстанческая ,3,Яшьлек
416,Кварт Базар,real_estate_agent,https://kazan.cian.ru/rent/flat/294153759/,Казань,rent,flat,3,10,1,36.0,888,32000,0,Приволжский,Спартаковская ,165,
417,КУБА,real_estate_agent,https://kazan.cian.ru/rent/flat/292848081/,Казань,rent,flat,13,18,1,36.0,805,29000,0,Приволжский, Комиссара Габишева,18А,Дубравная
418,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/282037316/,Казань,rent,flat,2,5,1,33.0,515,17000,0,Ново-Савиновский, Короленко,55,Яшьлек
419,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/282904328/,Казань,rent,flat,6,10,1,42.0,547,23000,0,Приволжский, Академика Завойского,25,Дубравная
420,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/282388929/,Казань,rent,flat,9,15,1,40.0,450,18000,0,Московский, Соловецких Юнг,7,Яшьлек
421,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/286707525/,Казань,rent,flat,7,19,3,67.0,283,19000,0,Советский, Тыныч,3,Горки
422,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/286315924/,Казань,rent,flat,7,14,2,57.0,368,21000,0,Советский, Натана Рахлина,5,
423,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/282902543/,Казань,rent,flat,2,5,1,36.0,611,22000,0,Приволжский, Брусничная,1,
424,Небеса,real_estate_agent,https://kazan.cian.ru/rent/flat/271445992/,Казань,rent,flat,17,19,2,41.0,853,35000,0,Приволжский,тракт Оренбургский,24В,Аметьево
425,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/282971773/,Казань,rent,flat,12,19,1,51.0,588,30000,0,Ново-Савиновский, Адоратского,1Б,Козья слобода
426,Дана Галиева,realtor,https://kazan.cian.ru/rent/flat/291834198/,Казань,rent,flat,14,20,2,64.0,546,35000,0,Советский,проспект Альберта Камалеева,32Б,Горки
427,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/263879751/,Казань,rent,flat,10,12,1,38.0,473,18000,0,Авиастроительный,Тэцевская ,4Б,Авиастроительная
428,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/282384353/,Казань,rent,flat,3,9,2,53.0,377,20000,0,Советский, Закиева,25,Горки
429,Небеса,real_estate_agent,https://kazan.cian.ru/rent/flat/283071053/,Казань,rent,flat,3,5,1,37.0,621,23000,0,Московский, Шамиля Усманова,19,Яшьлек
430,Небеса,real_estate_agent,https://kazan.cian.ru/rent/flat/281342843/,Казань,rent,flat,14,21,1,40.0,600,24000,0,Советский, Ноксинский Спуск,10,Проспект Победы
431,Небеса,real_estate_agent,https://kazan.cian.ru/rent/flat/275751452/,Казань,rent,flat,3,5,1,37.0,756,28000,0,Вахитовский, Нурсултана Назарбаева,74,Суконная слобода
432,Небеса,real_estate_agent,https://kazan.cian.ru/rent/flat/278173012/,Казань,rent,flat,5,10,1,50.0,560,28000,0,Вахитовский, Курашова,20,Площадь Тукая
433,Небеса,real_estate_agent,https://kazan.cian.ru/rent/flat/282427868/,Казань,rent,flat,16,16,2,50.0,600,30000,0,Советский,проспект Победы,139Ак2,Горки
434,Небеса,real_estate_agent,https://kazan.cian.ru/rent/flat/278060616/,Казань,rent,flat,15,19,1,42.0,714,30000,0,Советский, Аметьевская магистраль,16к1,Аметьево
435,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/290375323/,Казань,rent,flat,3,5,2,53.0,566,30000,0,Советский, 3-я Кленовая,23,Суконная слобода
436,ЭТАЖИ КАЗАНЬ АРЕНДА,real_estate_agent,https://kazan.cian.ru/rent/flat/294118507/,Казань,rent,flat,6,10,1,42.0,571,24000,0,Ново-Савиновский, Фатыха Амирхана,15,
437,Рушан Ганиев,realtor,https://kazan.cian.ru/rent/flat/293958718/,Казань,rent,flat,10,19,2,50.0,700,35000,0,Советский, Николая Ершова,65Б/1,Суконная слобода
438,Дана Галиева,realtor,https://kazan.cian.ru/rent/flat/289071340/,Казань,rent,flat,5,18,2,65.0,615,40000,0,Ново-Савиновский, Сибгата Хакима,7,Козья слобода
439,Дана Галиева,realtor,https://kazan.cian.ru/rent/flat/288868684/,Казань,rent,flat,3,7,2,66.0,606,40000,0,Вахитовский, Татарстан,14/59,Площадь Тукая
440,Денис Смирнов,realtor,https://kazan.cian.ru/rent/flat/294877128/,Казань,rent,flat,3,5,1,38.0,473,18000,0,Приволжский,Авангардная ,89,Площадь Тукая
441,Рустем Мушарапов,realtor,https://kazan.cian.ru/rent/flat/286590030/,Казань,rent,flat,5,11,1,42.0,476,20000,0,Приволжский, Салиха Батыева,19,Дубравная
442,Рустем Гайфетдинов,realtor,https://kazan.cian.ru/rent/flat/294807776/,Казань,rent,flat,8,9,1,42.0,476,20000,0,Ново-Савиновский, Адоратского,19,Яшьлек
443,Айрат  Гарифуллин,realtor,https://kazan.cian.ru/rent/flat/294456185/,Казань,rent,flat,5,9,1,40.0,625,25000,0,Ново-Савиновский, Маршала Чуйкова,29б,Северный Вокзал
444,Кварт Базар,real_estate_agent,https://kazan.cian.ru/rent/flat/294153737/,Казань,rent,flat,6,18,1,48.0,583,28000,0,Ново-Савиновский, Адоратского,39а,
445,Кварт Базар,real_estate_agent,https://kazan.cian.ru/rent/flat/294611407/,Казань,rent,flat,2,3,2,70.0,428,30000,0,Приволжский, Урмале,10,
446,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/287670434/,Казань,rent,flat,3,5,1,32.0,468,15000,0,Ново-Савиновский, Фатыха Амирхана,69,Яшьлек
447,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/282390813/,Казань,rent,flat,2,5,1,30.0,500,15000,0,Кировский,Ягодинская ,37,Козья слобода
448,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/282395806/,Казань,rent,flat,2,9,2,47.0,319,15000,0,Советский, Мира,67,
449,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/282036992/,Казань,rent,flat,4,9,1,30.0,500,15000,0,Ново-Савиновский, Маршала Чуйкова,73,
450,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/285143378/,Казань,rent,flat,8,9,1,38.0,447,17000,0,Ново-Савиновский, Маршала Чуйкова,17,Северный Вокзал
451,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/285153506/,Казань,rent,flat,3,24,1,36.0,500,18000,0,Приволжский, Братьев Батталовых,20к1,
452,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/285150495/,Казань,rent,flat,10,16,1,51.0,352,18000,0,Авиастроительный, Айдарова,15,Авиастроительная
453,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/287527692/,Казань,rent,flat,6,9,1,36.0,527,19000,0,Ново-Савиновский, Фатыха Амирхана,43,Яшьлек
454,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/287670990/,Казань,rent,flat,5,10,1,38.0,526,20000,0,Ново-Савиновский, Четаева,33,Яшьлек
455,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/282035880/,Казань,rent,flat,9,18,2,45.0,444,20000,0,Московский, Восстания,82А,Яшьлек
456,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/258850773/,Казань,rent,flat,8,10,1,33.0,606,20000,0,Советский, Юлиуса Фучика,86,Проспект Победы
457,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/290375041/,Казань,rent,flat,2,3,2,45.0,444,20000,0,Московский,Окольная ,17б,Яшьлек
458,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/286316108/,Казань,rent,flat,5,23,1,45.0,466,21000,0,Приволжский, Баки Урманче,7,Проспект Победы
459,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/286707372/,Казань,rent,flat,5,10,3,73.0,287,21000,0,Советский,проспект Победы,210,Горки
460,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/287669888/,Казань,rent,flat,7,10,1,38.0,578,22000,0,Ново-Савиновский,проспект Ямашева,85,Яшьлек
461,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/282389769/,Казань,rent,flat,6,10,1,36.0,611,22000,0,Авиастроительный,Тэцевская ,4,Авиастроительная
462,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/282385084/,Казань,rent,flat,6,10,2,45.0,422,19000,0,Приволжский,33-й Военный городок,12,
463,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/282581502/,Казань,rent,flat,13,20,1,45.0,555,25000,0,Ново-Савиновский, Сибгата Хакима,50,Козья слобода
464,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/287962752/,Казань,rent,flat,5,15,1,52.0,480,25000,0,Советский,Даурская ,22,Аметьево
465,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/287962457/,Казань,rent,flat,7,13,1,45.0,555,25000,0,Приволжский, Баки Урманче,4к2,Проспект Победы
466,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/282580534/,Казань,rent,flat,7,23,1,35.0,714,25000,0,Приволжский, Братьев Батталовых,20к1,
467,Рустем Мушарапов,realtor,https://kazan.cian.ru/rent/flat/284257252/,Казань,rent,flat,5,19,1,40.0,575,23000,0,Советский, Натана Рахлина,15к1,
468,Рустем Мушарапов,realtor,https://kazan.cian.ru/rent/flat/284255976/,Казань,rent,flat,11,25,1,46.0,760,35000,0,Ново-Савиновский, Сибгата Хакима,60,Козья слобода
469,ЭТАЖИ КАЗАНЬ АРЕНДА,real_estate_agent,https://kazan.cian.ru/rent/flat/294884850/,Казань,rent,flat,4,14,2,70.0,428,30000,0,Вахитовский, Чехова,57,
470,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/288738018/,Казань,rent,flat,1,5,2,56.0,446,25000,0,Советский, Академика Арбузова,19,Суконная слобода
471,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/287528945/,Казань,rent,flat,3,5,1,30.0,566,17000,0,Ново-Савиновский,Волгоградская ,22,Яшьлек
472,Дана Галиева,realtor,https://kazan.cian.ru/rent/flat/288847080/,Казань,rent,flat,7,13,1,44.0,636,28000,0,Советский, Аделя Кутуя,110Дк1,Горки
473,Кварт Базар,real_estate_agent,https://kazan.cian.ru/rent/flat/294795178/,Казань,rent,flat,4,9,1,34.0,794,27000,0,Советский,проезд Яраткан,3,
474,Кварт Базар,real_estate_agent,https://kazan.cian.ru/rent/flat/294727894/,Казань,rent,flat,9,18,2,50.0,700,35000,0,Кировский,Ягодинская ,25,
475,Дана Галиева,realtor,https://kazan.cian.ru/rent/flat/289274910/,Казань,rent,flat,6,11,3,54.0,648,35000,0,Советский, Азата Аббасова,13,Горки
476,Дана Галиева,realtor,https://kazan.cian.ru/rent/flat/294696149/,Казань,rent,flat,2,17,1,40.0,625,25000,0,Советский,проспект Победы,78,Горки
477,Рустем Мушарапов,realtor,https://kazan.cian.ru/rent/flat/292179977/,Казань,rent,flat,3,19,1,40.2,621,25000,0,Советский,проспект Альберта Камалеева,32,Суконная слобода
478,Кварт Базар,real_estate_agent,https://kazan.cian.ru/rent/flat/294107843/,Казань,rent,flat,11,12,1,40.0,875,35000,0,Ново-Савиновский,проспект Ямашева,69,
479,ЭТАЖИ КАЗАНЬ АРЕНДА,real_estate_agent,https://kazan.cian.ru/rent/flat/293186484/,Казань,rent,flat,7,9,2,51.0,647,33000,0,Приволжский, Юлиуса Фучика,51,
480,ЭТАЖИ КАЗАНЬ АРЕНДА,real_estate_agent,https://kazan.cian.ru/rent/flat/294185887/,Казань,rent,flat,2,10,3,80.0,437,35000,0,Авиастроительный, Максимова,7/6,
481,ЭТАЖИ КАЗАНЬ АРЕНДА,real_estate_agent,https://kazan.cian.ru/rent/flat/294185872/,Казань,rent,flat,4,10,1,45.0,600,27000,0,Советский, Азата Аббасова,12,
482,Антон Актеров,realtor,https://kazan.cian.ru/rent/flat/282396032/,Казань,rent,flat,8,10,1,35.0,428,15000,0,Ново-Савиновский,проспект Ямашева,85,Козья слобода
483,Рустем Гайфетдинов,realtor,https://kazan.cian.ru/rent/flat/294093293/,Казань,rent,flat,3,18,1,34.0,529,18000,0,Кировский, Тансык,5,Авиастроительная
484,Рустем Мушарапов,realtor,https://kazan.cian.ru/rent/flat/289852350/,Казань,rent,flat,7,11,2,51.0,352,18000,0,Кировский, Альфии Авзаловой,3,Авиастроительная
485,Рустем Гайфетдинов,realtor,https://kazan.cian.ru/rent/flat/294095977/,Казань,rent,flat,4,10,2,42.0,500,21000,0,Кировский, Генерала Махмута Гареева,3Б,Авиастроительная
