,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
361,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294723718/,Новосибирск,rent,flat,1,10,1,32.0,781,25000,0,Октябрьский,Лазурная ,2,
362,Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294145986/,Новосибирск,rent,flat,8,9,3,78.0,641,50000,0,Калининский,Народная ,26,
363,ID 61491018,homeowner,https://novosibirsk.cian.ru/rent/flat/294787574/,Новосибирск,rent,flat,21,25,1,36.6,683,25000,0,Кировский,Беловежская ,4/1,Площадь Маркса
364,Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294145988/,Новосибирск,rent,flat,17,17,3,74.0,810,60000,0,Дзержинский, Бориса Богаткова,253/4,
365,МакроМир,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294733252/,Новосибирск,rent,flat,15,16,2,75.0,600,45000,0,Центральный,Каменская ,56/2,Площадь Ленина
366,ID 89910388,homeowner,https://novosibirsk.cian.ru/rent/flat/294460782/,Новосибирск,rent,flat,7,16,1,42.0,1071,45000,0,Октябрьский,2-я Обская ,71/1,Речной вокзал
367,ЖИЛФОНД,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294913715/,Новосибирск,rent,flat,6,10,2,50.0,400,20000,0,Дзержинский, Есенина,10/2,Золотая Нива
368,HOME НЕДВИЖИМОСТЬ,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294805499/,Новосибирск,rent,flat,10,12,2,60.0,500,30000,0,Ленинский, Романтиков,4,
369,ID 96929452,homeowner,https://novosibirsk.cian.ru/rent/flat/292173994/,Новосибирск,rent,flat,8,17,1,30.0,666,20000,0,Первомайский, Одоевского,1/11,Речной вокзал
370,Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294905289/,Новосибирск,rent,flat,2,5,2,45.0,555,25000,0,Первомайский,Звездная ,7,
371,Этажи Новосибирск,real_estate_agent,https://novosibirsk.cian.ru/rent/flat/294789156/,Новосибирск,rent,flat,14,15,1,37.0,729,27000,0,Ленинский,1-я Шоссейная ,62,
