,author,author_type,link,city,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_m2,price_per_month,commissions,district,street,house_number,underground
305,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/295014650/,Москва,rent,flat,3,30,3,55.0,1545,85000,0,Рязанский,Окская ,7А,Окская
306,Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/287923367/,Москва,rent,flat,5,10,4,190.0,2052,390000,0,Тверской,Страстной бульвар,10к1,Пушкинская
307,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/294167544/,Москва,rent,flat,37,48,4,170.0,1558,265000,0,Хорошево-Мневники,проспект Маршала Жукова,78,
308,The IMPERIUM,real_estate_agent,https://www.cian.ru/rent/flat/295007664/,Москва,rent,flat,3,23,2,53.0,1169,62000,0,Текстильщики,1-й Грайвороновский проезд,13к1,Текстильщики
309,Point Estate Город,real_estate_agent,https://www.cian.ru/rent/flat/293813673/,Москва,rent,flat,3,5,3,140.0,1785,250000,0,Мещанский,Варсонофьевский переулок,6,Кузнецкий мост
310,BARNES International Realty,real_estate_agent,https://www.cian.ru/rent/flat/292855606/,Москва,rent,flat,57,75,2,105.0,3333,350000,0,Пресненский,1-й Красногвардейский проезд,15,Деловой центр
311,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/295005763/,Москва,rent,flat,10,12,3,120.0,1208,145000,0,Якиманка, Серафимовича,2,Боровицкая
312,MERSI,real_estate_agent,https://www.cian.ru/rent/flat/293530467/,Москва,rent,flat,6,16,4,215.0,1069,230000,0,Коньково, Островитянова,11К1,Коньково
313,MERSI,real_estate_agent,https://www.cian.ru/rent/flat/252856040/,Москва,rent,flat,53,75,2,95.1,3575,340000,0,Пресненский,1-й Красногвардейский проезд,15,Выставочная
314,KOVCHEG,real_estate_agent,https://www.cian.ru/rent/flat/294762014/,Москва,rent,flat,14,24,1,40.0,2000,80000,0,Западное Дегунино,Дмитровское шоссе,71А,Верхние Лихоборы
315,BARNES International Realty,real_estate_agent,https://www.cian.ru/rent/flat/294222325/,Москва,rent,flat,3,35,2,42.0,2857,119999,0,Раменки, Лобачевского,120к5,
316,ID 16770007,realtor,https://www.cian.ru/rent/flat/294880305/,Москва,rent,flat,13,20,2,60.0,1233,74000,0,, Анны Ахматовой,22,Рассказовка
317,Александр Смирнов,realtor,https://www.cian.ru/rent/flat/295073952/,Москва,rent,flat,11,12,3,112.0,1562,175000,0,Тверской,1-я Миусская ,2С1,Новослободская
